gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5229457850	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:126845449	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stranden, Sjötorp, Lyckorna, Ljung, Boh	Bohuslän	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.20742	11.89793	47.0						2025-07-22T11:20/2025-07-22T14:55	22	7	2025	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	126845449				CC0_1_0	Rune Hixén	Rune Hixén			2025-07-26T19:09:15.155Z		
5229321403	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:126540760	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Hällesö, Hl	Halland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.3806	12.06083	750.0						2025-07-09	9	7	2025	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	126540760				CC0_1_0	Jonathan Börjesson	Jonathan Börjesson, Annika Börjesson, Emma Börjesson, Ingemar Börjesson			2025-07-26T19:05:00.397Z		
5229243652	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:126829054	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Skarholmen, Vg	Västergötland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.57946	11.7921	10.0						2025-07-22	22	7	2025	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	126829054				CC0_1_0	Albin Stjernman	Albin Stjernman, Henrik Stjernman			2025-07-26T18:58:13.501Z		
5229194622	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:126748151	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Landabukten, Hl	Halland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.32701	12.15456	50.0						2025-07-18	18	7	2025	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	126748151				CC0_1_0	Alec Bailey	Alec Bailey			2025-07-26T18:57:02.958Z		
5229088538	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:126556326	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Stranden i N, Strande ö, Resteröd, Boh	Bohuslän	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.25391	11.84955	25.0						2025-07-09T13:05	9	7	2025	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	126556326				CC0_1_0	Rune Hixén	Rune Hixén			2025-07-26T19:07:15.105Z		
5214587319	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:126486979	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Saltö västra bryggan, Boh	Bohuslän	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.87922	11.12229	50.0						2025-07-05	5	7	2025	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	126486979				CC0_1_0	Emma Nordenberg	Emma Nordenberg			2025-07-26T19:06:38.917Z		
5214579398	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:126440926	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Klevs strandäng, Hl	Halland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	57.49968	11.95648	250.0						2025-07-05T09:15/2025-07-05T13:45	5	7	2025	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	126440926				CC0_1_0	Uno Unger	Uno Unger, Erik Ljungstrand, Eva Andersson, Mårten Hammar			2025-07-26T18:56:19.480Z		
5202176752	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:126132972	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Olle P strand, boke, Boh	Bohuslän	PRESENT	100	b8323864-602a-4a7d-9127-bb903054e97d	58.29303	11.66706	10.0						2025-06-22T11:00/2025-06-22T12:00	22	6	2025	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	126132972				CC0_1_0	Andreas Emanuelsson	Andreas Emanuelsson, Birger Emanuelsson			2025-07-26T19:04:36.727Z		
5195506385	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:126030826	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Jordfall dykplats, väst, Boh	Bohuslän	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	58.32986	11.56968	100.0						2020-05-03T14:30/2020-05-03T15:30	3	5	2020	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	126030826				CC0_1_0	Andreas Emanuelsson	Andreas Emanuelsson			2025-07-26T18:56:17.817Z		
5195478515	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:126060763	Plantae	Tracheophyta	Liliopsida	Alismatales	Zosteraceae	Zostera	Zostera marina		SPECIES	Zostera marina L.	Zostera marina	L.	SE	Ringenäs skjutfält, västra stranden, Hl	Halland	PRESENT		b8323864-602a-4a7d-9127-bb903054e97d	56.6837	12.67979	310.0						2025-06-04	4	6	2025	2863967	2863967	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	126060763				CC0_1_0	Ola Elleström	Ola Elleström			2025-07-26T18:58:24.033Z		
